numenq,man,age98,country_birth,region_school,location,urban_area,sch_lev,age_jun_hs,origin_father,origin_mother,occup_father,occup_mother
100645,1,18,0,42,1,7,2,11,0,0,5,99
100650,1,19,0,11,1,1,1,11,0,0,3,5
100654,1,20,0,11,1,1,1,11,0,0,5,5
100654,1,20,0,11,1,1,1,11,0,0,5,5
100659,0,19,1,82,1,2,1,12,1,1,99,7
100660,1,16,0,43,1,7,1,12,0,0,2,5
100667,1,18,17,26,2,7,1,13,17,17,99,7
100670,0,17,0,11,1,1,1,11,0,0,99,5
100672,1,20,0,82,1,7,2,11,0,0,99,7
100673,1,19,0,73,1,5,2,12,1,2,5,5
100674,0,17,0,26,1,7,1,10,0,0,2,7
100685,1,18,0,11,1,1,1,12,32,32,5,5
100686,0,20,0,74,1,7,2,13,0,0,4,5
100693,0,18,0,82,1,2,2,12,0,0,6,99
100695,1,19,0,43,1,7,1,12,0,0,5,5
100701,1,17,1,82,1,7,2,11,1,1,5,7
100702,0,20,0,82,1,7,2,13,0,0,3,99
100715,1,19,0,93,1,6,2,13,99,1,99,5
100718,0,18,0,31,1,7,2,12,3,0,5,99
100719,1,20,0,52,1,7,1,12,0,0,5,5
100729,1,19,0,25,1,7,2,12,0,0,4,5
100736,0,15,0,73,1,7,1,11,19,19,6,5
100740,1,19,0,31,1,4,2,12,0,0,5,7
100745,1,19,0,93,1,7,1,11,0,1,99,5
100750,0,21,0,82,99,99,2,12,0,0,5,5
100753,0,20,0,22,2,7,2,12,0,0,6,7
100771,1,23,0,11,1,1,2,11,17,23,3,99
100776,1,18,0,83,1,7,2,11,0,0,3,99
100778,1,18,0,82,1,7,1,11,0,0,6,6
100782,0,18,0,72,1,7,1,11,0,0,6,5
100789,0,17,0,91,1,7,1,12,1,1,6,7
100795,0,20,0,43,1,7,2,12,0,0,6,6
100809,1,18,0,73,1,5,1,11,4,1,99,3
100811,0,24,0,73,1,5,2,11,0,0,5,5
100817,0,18,17,82,1,2,1,13,17,17,99,5
100821,1,21,0,24,1,7,2,13,1,1,6,7
100823,0,18,0,41,2,7,2,12,0,0,5,7
100826,1,18,17,26,1,7,1,12,17,17,6,7
100841,1,19,0,54,2,7,2,12,0,0,6,5
100845,1,17,0,72,1,7,1,11,1,23,6,5
100847,1,19,0,43,1,7,1,12,0,0,6,6
100848,1,22,17,11,1,1,2,11,17,17,6,7
100877,1,21,0,91,1,7,1,13,0,9,6,7
100879,1,19,0,43,1,7,1,10,1,1,6,7
100880,1,18,0,41,1,7,2,12,0,0,99,99
100886,0,20,0,82,1,2,2,12,1,1,6,7
100887,0,20,0,26,1,7,2,12,19,19,5,6
100891,1,19,0,82,1,2,2,12,1,1,6,99
100893,1,16,0,11,1,1,1,12,0,0,5,5
100896,1,22,0,22,1,7,2,11,0,0,5,5
100901,1,18,0,41,1,7,1,11,0,0,99,6
100902,0,20,0,31,1,7,1,11,0,0,6,99
100903,1,17,0,52,1,7,1,12,0,0,5,5
100904,1,20,0,72,1,7,1,11,0,0,5,5
100907,1,16,0,82,1,2,1,12,1,0,5,2
100917,0,19,17,91,1,7,2,13,17,17,6,7
100921,0,20,0,53,1,7,2,11,0,0,5,5
100924,1,18,0,23,1,7,1,11,0,0,6,5
100926,0,18,0,82,1,2,1,13,1,0,5,5
100933,1,17,17,43,1,7,1,11,17,17,6,7
100938,0,19,0,43,1,7,1,11,0,0,99,6
100939,0,17,0,11,1,1,1,12,1,1,99,7
100940,0,21,0,11,1,1,2,13,0,0,6,5
100945,0,19,0,41,1,7,2,13,0,0,5,7
100946,1,17,0,11,1,1,1,12,0,0,5,6
100953,0,24,0,11,1,7,2,12,0,0,5,5
100956,1,16,0,53,1,7,1,12,0,0,6,6
100960,0,19,0,82,1,2,2,12,23,23,6,7
100961,1,19,0,11,1,1,2,12,0,0,5,4
100964,0,20,0,11,1,1,2,11,0,0,3,2
100971,0,21,0,11,1,1,2,12,17,17,5,7
100972,1,19,0,11,1,1,2,11,1,1,99,5
100975,1,17,0,91,1,7,1,11,0,0,5,5
100981,1,18,0,31,2,7,1,12,0,0,5,99
100991,1,19,0,11,1,1,2,11,1,1,6,4
100996,0,20,0,31,1,4,2,12,0,0,5,7
100997,0,18,1,11,1,1,1,11,1,1,1,7
100998,1,17,0,82,1,2,1,11,1,1,6,7
101002,1,22,0,22,1,7,1,11,0,0,2,5
101011,0,18,0,82,1,2,2,12,0,0,99,7
101015,1,16,0,11,1,1,1,11,0,0,2,5
101026,0,19,17,21,1,7,2,11,17,17,6,7
101028,1,19,0,41,1,7,2,12,19,0,3,5
101031,1,16,0,82,1,2,1,13,1,1,5,5
101034,1,18,24,82,2,7,1,11,24,24,6,7
101039,1,19,0,11,1,1,1,11,0,0,5,5
101045,0,18,17,82,2,7,1,11,17,17,5,7
101046,1,20,0,82,1,2,2,11,0,0,3,7
101056,1,19,0,82,1,2,2,11,13,13,4,4
101065,0,19,0,24,1,7,1,12,0,0,6,6
101071,1,19,0,52,1,7,1,11,0,0,3,5
101079,1,17,1,82,1,7,1,12,1,1,99,7
101080,0,21,0,74,1,7,2,11,0,0,1,3
101087,1,18,99,23,1,7,1,12,99,99,99,99
101090,1,18,0,82,1,7,2,12,0,0,5,6
101091,1,18,0,22,2,7,2,12,0,0,5,99
101093,1,18,0,72,2,7,1,11,0,0,5,5
101095,1,16,0,11,1,1,1,12,1,1,6,7
101096,1,18,0,11,1,1,1,12,19,19,6,5
101104,1,18,0,22,1,7,1,12,0,0,2,99
101116,1,21,1,73,1,7,1,13,1,1,5,7
101118,0,15,0,72,1,7,1,10,0,0,6,99
101121,1,18,0,31,1,7,1,11,0,0,2,5
101135,1,19,0,72,1,7,2,12,99,0,5,5
101138,1,16,0,91,1,7,1,13,0,0,5,5
101142,1,21,0,73,2,7,2,11,1,0,2,4
101143,1,18,0,82,2,7,2,12,0,0,99,5
101146,1,18,0,53,1,7,2,12,0,0,6,6
101149,1,18,0,82,1,2,1,11,23,23,6,5
101154,1,20,0,93,1,7,2,11,99,17,99,7
101161,1,19,0,22,2,7,2,12,0,0,6,99
101162,0,17,0,11,1,1,2,11,30,30,99,5
101181,1,16,0,91,2,7,1,12,0,0,1,5
101189,1,19,0,21,2,7,2,13,0,0,5,5
101208,0,17,0,42,1,7,1,12,0,0,5,5
101215,1,17,0,82,1,7,2,11,23,23,99,7
101216,1,24,0,53,1,7,2,11,0,0,5,5
101217,0,18,0,31,1,7,2,12,0,0,6,99
101225,0,20,0,53,1,7,2,11,0,0,6,6
101240,0,18,0,82,1,7,2,11,0,0,5,3
101247,1,19,0,93,1,6,1,11,0,1,3,5
101251,1,18,0,54,2,7,2,11,0,0,6,5
101265,1,18,17,11,1,1,1,12,17,17,6,99
101279,0,16,30,91,2,7,1,12,0,30,5,5
101283,0,19,0,25,1,7,2,12,0,0,5,5
101289,0,18,0,11,1,1,2,11,0,0,4,5
101291,1,17,0,91,1,7,1,12,0,0,6,7
101293,0,19,0,11,1,1,1,11,0,0,99,4
101296,0,17,0,11,1,1,1,13,0,0,6,7
101302,1,18,0,41,1,7,2,12,0,0,5,5
101311,0,19,1,82,1,2,1,12,0,0,5,7
101316,0,17,0,74,1,7,1,11,17,17,5,7
101317,0,19,0,11,1,1,2,12,0,0,99,6
101328,1,17,0,82,1,2,2,11,0,0,99,5
101333,1,16,0,43,1,7,1,11,0,0,5,5
101335,1,16,0,41,1,7,1,11,0,0,4,3
101338,1,19,0,11,1,1,1,12,17,17,5,5
101339,1,18,0,11,1,1,1,11,99,26,99,5
101342,1,19,23,11,1,1,2,12,23,23,6,7
101343,1,19,0,22,1,7,1,11,0,0,6,99
101344,0,19,0,82,1,2,2,12,0,0,5,5
101347,1,16,0,11,1,1,1,11,1,2,6,7
101349,1,16,0,82,2,7,1,14,24,24,6,7
101353,1,18,0,91,2,7,2,11,0,0,99,5
101354,0,18,0,11,1,1,2,14,19,19,4,5
101355,0,21,0,82,1,2,2,12,19,19,6,5
101359,1,20,0,24,1,1,2,12,0,0,5,5
101360,0,18,0,31,1,7,2,11,0,0,6,6
101361,1,20,0,41,1,7,1,11,0,0,6,5
101369,1,20,0,82,2,7,2,11,0,0,2,5
101380,0,18,0,91,2,7,2,11,0,0,2,5
101386,1,17,0,11,1,1,1,12,0,0,5,5
101394,1,19,0,91,99,99,1,11,1,1,2,5
101400,1,19,0,26,2,7,2,12,0,0,4,5
101403,0,18,0,93,1,3,2,11,0,0,3,5
101417,0,17,0,93,1,3,1,12,0,17,5,5
101421,1,18,0,82,1,2,2,11,0,0,5,5
101422,0,18,24,41,1,7,1,12,24,24,5,7
101423,0,18,0,52,2,7,1,11,0,0,5,6
101424,0,17,0,93,1,7,1,12,0,0,6,5
101426,1,19,0,24,1,7,2,11,0,0,6,5
101429,1,23,0,11,1,7,2,11,0,0,3,3
101432,1,18,0,31,1,7,2,11,1,1,99,5
101439,1,18,17,93,1,6,2,11,17,17,6,7
101451,0,18,0,73,1,5,2,11,0,0,2,5
101460,1,17,0,11,1,1,1,12,19,19,99,6
101463,1,20,0,43,1,7,2,12,0,0,5,5
101464,1,17,0,42,1,7,1,11,30,1,4,4
101466,0,25,0,21,1,7,2,12,0,0,99,5
101469,1,19,0,82,1,2,2,12,23,23,99,99
101481,0,20,0,11,99,99,2,11,0,0,4,4
101483,0,20,24,31,1,4,2,12,25,25,5,99
101492,0,19,0,41,99,99,2,11,2,0,99,99
101494,1,17,0,22,2,7,1,11,0,0,5,7
101505,1,20,1,21,1,7,1,11,1,1,6,5
101507,1,19,0,82,1,7,2,11,12,0,5,5
101516,1,18,1,82,1,7,1,14,1,1,5,7
101520,1,17,0,11,1,1,1,14,1,1,2,4
101528,1,17,0,82,1,7,2,12,0,0,6,5
101529,0,17,0,82,1,7,1,11,1,1,99,7
101543,1,21,0,41,1,7,2,13,1,1,6,7
101550,0,21,0,52,1,7,1,11,0,0,3,5
101553,0,17,0,24,2,7,1,11,24,24,6,1
101555,1,21,0,93,1,3,1,12,1,1,6,7
101560,0,18,0,41,1,7,1,12,0,0,5,4
101561,0,19,0,11,1,1,1,12,0,0,5,7
101562,1,20,0,43,1,7,1,11,31,0,6,7
101572,1,19,0,82,2,7,2,11,24,24,5,7
101573,0,17,0,41,1,7,1,11,0,0,5,5
101584,0,18,0,82,1,7,1,11,0,0,5,5
101586,1,20,0,22,1,7,2,12,23,23,6,7
101599,0,19,0,91,2,7,2,11,0,0,7,5
101600,0,20,0,54,1,7,1,11,0,1,5,5
101609,1,17,0,91,1,7,1,13,17,17,1,1
101614,0,18,0,11,1,1,1,11,0,0,5,5
101618,1,19,0,11,1,1,2,12,0,0,5,5
101636,1,19,0,11,1,1,1,11,0,0,99,3
101654,1,18,0,21,1,7,2,11,17,17,6,7
101657,0,18,0,82,1,2,2,12,0,0,6,4
101659,0,19,0,91,2,7,1,11,17,17,1,7
101662,0,17,0,26,1,7,1,13,1,1,2,6
101666,1,19,0,31,1,7,2,12,0,0,5,7
101673,0,23,0,53,1,7,2,11,0,0,5,5
101677,0,17,0,21,2,7,1,11,0,0,99,5
101680,1,19,0,11,1,1,1,12,0,0,3,3
101683,1,18,0,82,1,7,2,12,0,0,5,5
101686,1,17,0,91,1,7,1,11,0,0,5,6
101691,0,18,0,26,2,7,1,13,0,0,99,5
101693,1,18,0,53,1,7,2,12,0,0,6,5
101697,1,18,0,31,1,7,2,12,0,0,6,6
101705,1,18,0,72,1,7,2,11,0,0,5,5
101713,0,16,0,91,1,7,1,11,0,0,5,5
101720,1,21,0,93,1,3,1,11,1,1,6,7
101721,0,20,0,74,2,7,2,12,0,0,6,5
101722,0,21,25,74,1,7,2,12,25,25,99,7
101723,0,18,0,21,1,7,2,11,0,0,6,99
101726,1,20,0,31,1,7,1,11,0,0,4,3
101732,0,20,0,11,1,1,2,12,0,0,6,5
101739,0,18,0,42,1,7,2,11,19,19,2,5
101752,1,19,0,82,1,2,2,11,13,25,2,6
101755,1,19,0,82,1,2,2,13,0,0,5,7
101761,0,18,0,31,1,7,2,11,0,0,5,99
101762,0,19,0,21,1,7,2,11,0,0,2,5
101766,1,16,0,43,1,7,1,11,0,0,6,99
101773,1,21,0,31,1,7,2,13,0,0,3,5
101780,0,18,21,72,1,7,1,11,21,21,5,99
101786,0,18,0,82,1,2,2,12,0,0,5,5
101789,0,20,0,22,1,7,2,12,0,0,6,5
101794,1,17,0,93,2,7,1,13,0,0,6,5
101805,0,16,0,93,1,3,1,12,0,0,5,4
101806,1,19,0,93,1,6,2,11,23,23,6,7
101822,1,18,0,21,2,7,1,13,0,0,5,5
101826,1,16,0,11,1,1,1,12,0,0,4,7
101829,0,18,30,73,1,5,2,11,30,30,99,99
101832,1,17,0,82,1,7,1,11,1,0,2,5
101846,1,17,0,82,1,2,2,11,0,0,5,5
101851,0,17,0,31,1,4,2,11,19,19,6,5
101856,0,18,0,73,2,7,2,12,0,0,5,5
101858,1,18,0,91,1,7,2,12,1,1,5,5
101860,0,18,0,11,1,1,1,12,0,0,3,5
101866,1,17,0,22,1,7,1,11,0,0,5,7
101868,1,16,0,93,1,3,1,11,0,1,99,5
101869,1,18,0,82,1,7,2,12,24,24,6,7
101874,1,17,0,82,1,7,1,11,1,1,99,6
101877,0,20,0,24,1,7,2,11,17,0,99,5
101879,1,19,0,72,2,7,2,12,0,0,4,5
101882,0,18,0,82,1,7,2,12,0,0,5,5
101885,1,19,0,82,1,2,1,13,1,1,99,7
101902,1,19,0,74,1,7,1,11,0,0,6,99
101910,1,17,0,52,2,7,1,11,0,0,4,5
101919,1,18,0,42,1,7,2,11,0,0,6,99
101920,0,17,0,31,1,4,2,11,0,0,5,5
101932,0,18,0,11,1,1,2,12,0,0,6,5
101936,0,18,0,93,1,7,2,11,17,1,99,99
101938,0,20,0,41,1,7,1,11,0,0,6,5
101939,1,17,0,82,1,7,2,11,99,0,3,5
101940,1,17,0,23,1,7,1,11,0,0,6,5
101942,1,18,19,11,1,1,1,13,19,19,99,5
101946,0,17,0,94,1,7,1,12,0,0,99,4
101957,1,18,0,93,1,7,2,14,0,0,5,7
101958,0,17,0,11,1,1,1,11,0,0,5,5
101996,1,18,0,43,2,7,2,11,0,0,2,2
101998,1,20,0,91,1,7,2,14,0,0,2,5
102010,0,19,0,11,1,1,2,12,0,0,99,4
102019,1,19,0,72,1,7,1,11,30,0,99,99
102020,0,17,0,54,2,7,2,11,0,0,6,7
102023,0,20,25,82,1,7,2,14,25,25,5,99
102024,1,19,0,82,1,7,2,12,1,1,6,7
102042,0,17,0,11,1,1,1,11,30,21,99,7
102043,1,18,24,42,1,7,2,11,24,24,5,7
102046,1,19,0,22,1,7,2,12,0,0,5,5
102049,0,20,0,82,1,7,2,12,17,17,99,7
102051,0,21,0,31,1,7,1,11,0,0,5,5
102058,1,20,0,43,2,7,2,11,0,0,6,5
102066,0,19,0,21,1,7,2,13,0,0,5,5
102074,1,19,0,91,1,7,1,11,19,19,6,6
102083,1,19,0,74,1,7,2,12,0,0,5,5
102090,1,19,0,93,1,3,2,12,1,0,5,7
102091,0,18,0,82,1,7,2,11,0,0,2,6
102100,1,18,0,21,1,7,2,12,99,0,99,7
102103,0,19,0,73,1,5,2,12,0,0,5,5
102115,0,22,0,24,2,7,1,11,0,0,5,5
102116,1,19,0,82,1,2,2,13,23,23,6,5
102120,0,17,0,43,1,7,1,12,24,24,99,7
102125,1,19,0,25,1,7,1,11,0,0,5,5
102126,1,17,0,11,1,7,1,12,0,0,99,5
102140,1,17,0,93,1,7,1,12,0,0,6,7
102143,0,18,0,82,99,99,2,12,0,0,6,5
102153,1,18,0,24,1,7,2,12,0,0,6,2
102164,0,16,0,11,1,1,1,12,1,23,99,5
102169,0,19,0,74,1,7,1,11,0,0,2,6
102179,0,19,0,25,1,7,2,11,0,0,6,5
102198,1,19,0,22,1,7,2,11,0,0,5,5
102206,0,17,17,31,1,4,1,13,17,17,2,7
102207,1,16,0,91,1,7,1,11,0,0,6,7
102209,0,17,0,11,1,1,1,12,32,32,6,7
102219,1,17,0,11,1,1,1,12,0,0,99,7
102230,1,15,0,11,1,1,1,12,1,1,5,7
102231,0,17,0,41,1,7,1,12,1,0,6,99
102234,0,19,17,26,1,7,1,13,17,17,6,5
102248,0,20,0,22,2,7,2,12,0,0,4,7
102251,0,20,0,52,1,7,2,11,0,0,5,5
102254,1,17,0,52,1,7,1,12,0,0,99,7
102260,1,21,0,31,1,7,2,12,0,0,6,5
102262,0,18,0,91,1,7,1,11,17,17,6,7
102268,1,18,24,82,1,7,1,13,24,24,6,7
102273,1,18,0,82,1,2,2,12,26,9,6,6
102275,1,20,0,24,1,7,2,12,19,19,6,7
102285,1,17,32,82,99,99,1,12,32,32,5,7
102289,1,19,0,82,1,2,2,11,19,19,5,7
102294,0,19,0,91,1,7,2,12,1,0,6,2
102298,0,18,0,23,1,7,1,12,0,0,6,99
102304,1,18,0,91,1,7,2,11,0,0,5,5
102307,0,17,0,82,1,7,2,12,24,24,99,99
102323,1,19,0,42,1,7,1,12,1,0,2,2
102327,1,18,0,31,1,7,1,13,0,0,6,7
102341,0,16,0,91,1,7,1,11,0,0,5,5
102345,1,21,0,82,1,2,2,12,23,23,6,7
102348,0,20,0,11,2,7,2,12,19,19,7,99
102349,0,19,0,82,1,2,2,11,0,0,3,3
102370,1,18,0,82,2,7,2,12,17,1,6,7
102372,1,20,0,31,1,4,2,11,0,0,5,99
102375,0,20,0,31,1,7,2,11,0,0,3,5
102380,0,20,0,11,1,1,1,11,1,1,4,7
102384,1,18,0,11,1,1,1,11,0,0,5,5
102387,1,18,0,24,1,7,2,11,0,0,6,7
102396,1,16,0,91,1,7,1,11,0,1,6,5
102411,0,18,0,11,2,7,1,14,0,0,6,5
102417,0,18,0,54,2,7,1,12,0,0,6,7
102428,0,18,0,73,1,7,2,13,0,0,5,7
102429,1,19,1,91,1,7,1,11,1,1,5,7
102438,1,18,0,41,2,7,2,12,0,0,6,99
102445,1,18,17,91,2,7,1,13,17,17,1,7
102446,1,20,0,11,1,1,1,12,17,17,3,5
102451,1,19,24,11,1,1,2,11,24,24,6,6
102458,0,18,0,11,1,1,2,11,1,1,6,7
102460,1,19,17,72,2,7,1,13,17,17,6,7
102461,0,18,0,52,1,7,2,12,0,0,2,5
102469,0,19,0,11,99,99,2,12,27,27,5,99
102472,0,19,0,82,1,7,2,12,1,1,6,5
102479,1,22,0,11,1,1,2,12,0,0,6,5
102484,0,18,33,11,1,1,1,11,33,33,6,5
102489,0,20,0,42,1,7,2,11,0,0,5,6
102494,1,19,0,52,1,7,2,12,0,0,5,5
102499,0,17,0,91,1,7,1,14,0,0,99,99
102500,0,19,0,43,2,7,2,11,0,0,5,6
102505,0,23,0,23,99,99,1,11,1,1,6,7
102508,1,16,0,93,1,7,1,13,1,0,4,5
102511,1,20,0,43,1,7,1,11,0,0,3,6
102518,1,19,0,24,1,7,1,13,0,0,5,7
102519,1,17,0,11,1,1,1,11,1,0,6,7
102527,1,18,0,42,1,7,2,11,0,0,5,5
102529,1,17,0,11,1,1,1,12,1,1,5,7
102530,1,18,17,11,1,1,2,11,17,17,2,7
102531,1,19,0,73,1,7,2,12,0,0,6,3
102539,1,19,0,93,1,6,2,12,17,17,6,6
102540,1,17,0,91,1,7,1,12,1,1,6,7
102546,0,19,0,24,1,7,1,12,17,17,6,5
102552,1,18,0,23,1,7,2,11,0,0,4,5
102558,1,21,0,93,1,7,1,11,0,0,5,5
102561,1,20,0,11,1,1,1,13,0,0,1,5
102563,1,18,0,54,1,7,1,11,0,0,6,6
102567,0,20,0,31,1,7,1,11,0,0,2,7
102582,0,20,24,11,1,1,1,12,24,24,5,5
102584,0,18,0,41,2,7,2,11,0,0,5,6
102586,1,19,0,93,1,3,1,12,0,0,6,5
102594,0,20,0,72,1,7,2,13,0,0,6,7
102597,1,20,0,91,1,7,2,12,17,9,5,5
102601,1,19,0,25,2,7,2,13,0,0,6,6
102605,1,18,0,21,1,7,1,11,19,0,5,99
102610,0,18,0,22,2,7,2,11,0,0,5,7
102617,1,22,0,25,1,7,1,11,0,0,3,5
102619,0,20,0,21,1,7,1,13,0,0,5,99
102621,1,16,0,23,1,1,1,11,0,0,5,5
102624,0,20,0,82,1,7,1,11,0,0,5,6
